Python_Function,Description,Unit Test Cases
"def shellSort(alist):    sublistcount = len(alist)//2    while sublistcount > 0:      for start_position in range(sublistcount):        gap_InsertionSort(alist, start_position, sublistcount)      print(""After increments of size"",sublistcount, ""The list is"",nlist)      sublistcount = sublistcount // 2def gap_InsertionSort(nlist,start,gap):    for i in range(start+gap,len(nlist),gap):        current_value = nlist[i]        position = i        while position>=gap and nlist[position-gap]>current_value:            nlist[position]=nlist[position-gap]            position = position-gap        nlist[position]=current_valuenlist = [14,46,43,27,57,41,45,21,70]shellSort(nlist)print(nlist)","""""""
Brief Description:
------------------
shellSort function performs a specific operation as described below.

Extended Description:
---------------------
This function, `shellSort`, takes 1 parameters: alist. It is designed to perform a certain task using these parameters.

Parameters:
-----------
alist : type
    Description of alist.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> shellSort(value)
Expected output
""""""","import unittest

class TestShellsort(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = shellSort(value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = shellSort(None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def no_of_substring_with_equalEnds(str1): 	result = 0; 	n = len(str1); 	for i in range(n): 		for j in range(i, n): 			if (str1[i] == str1[j]): 				result = result + 1	return result str1 = input(""Input a string: "")print(no_of_substring_with_equalEnds(str1))","""""""
Brief Description:
------------------
no_of_substring_with_equalEnds function performs a specific operation as described below.

Extended Description:
---------------------
This function, `no_of_substring_with_equalEnds`, takes 1 parameters: str1. It is designed to perform a certain task using these parameters.

Parameters:
-----------
str1 : type
    Description of str1.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> no_of_substring_with_equalEnds(value)
Expected output
""""""","import unittest

class TestNo_of_substring_with_equalends(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = no_of_substring_with_equalEnds(value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = no_of_substring_with_equalEnds(None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
def near_thousand(n):      return ((abs(1000 - n) <= 100) or (abs(2000 - n) <= 100))print(near_thousand(1000))print(near_thousand(900))print(near_thousand(800))   print(near_thousand(2200)),"""""""
Brief Description:
------------------
near_thousand function performs a specific operation as described below.

Extended Description:
---------------------
This function, `near_thousand`, takes 1 parameters: n. It is designed to perform a certain task using these parameters.

Parameters:
-----------
n : type
    Description of n.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> near_thousand(value)
Expected output
""""""","import unittest

class TestNear_thousand(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = near_thousand(value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = near_thousand(None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def split_list(lst, n):    result = list((lst[i:i+n] for i in range(0, len(lst), n)))    return resultnums = [12,45,23,67,78,90,45,32,100,76,38,62,73,29,83]print(""Original list:"")print(nums)n = 3print(""\nSplit the said list into equal size"",n)print(split_list(nums,n))n = 4print(""\nSplit the said list into equal size"",n)print(split_list(nums,n))n = 5print(""\nSplit the said list into equal size"",n)print(split_list(nums,n))","""""""
Brief Description:
------------------
split_list function performs a specific operation as described below.

Extended Description:
---------------------
This function, `split_list`, takes 2 parameters: lst,  n. It is designed to perform a certain task using these parameters.

Parameters:
-----------
lst : type
    Description of lst.
n : type
    Description of n.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> split_list(value, value)
Expected output
""""""","import unittest

class TestSplit_list(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = split_list(value, value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = split_list(None, None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def strip_chars(str, chars):    return """".join(c for c in str if c not in chars)print(""\nOriginal String: "")print(""The quick brown fox jumps over the lazy dog."")print(""After stripping a,e,i,o,u"")      print(strip_chars(""The quick brown fox jumps over the lazy dog."", ""aeiou""))print()","""""""
Brief Description:
------------------
strip_chars function performs a specific operation as described below.

Extended Description:
---------------------
This function, `strip_chars`, takes 2 parameters: str,  chars. It is designed to perform a certain task using these parameters.

Parameters:
-----------
str : type
    Description of str.
chars : type
    Description of chars.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> strip_chars(value, value)
Expected output
""""""","import unittest

class TestStrip_chars(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = strip_chars(value, value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = strip_chars(None, None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def intersection_nested_lists(l1, l2):    result = [[n for n in lst if n in l1] for lst in l2]    return resultnums1 = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]nums2 = [[12, 18, 23, 25, 45], [7, 11, 19, 24, 28], [1, 5, 8, 18, 15, 16]]print(""\nOriginal lists:"")print(nums1)print(nums2)print(""\nIntersection of said nested lists:"")print(intersection_nested_lists(nums1, nums2))","""""""
Brief Description:
------------------
intersection_nested_lists function performs a specific operation as described below.

Extended Description:
---------------------
This function, `intersection_nested_lists`, takes 2 parameters: l1,  l2. It is designed to perform a certain task using these parameters.

Parameters:
-----------
l1 : type
    Description of l1.
l2 : type
    Description of l2.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> intersection_nested_lists(value, value)
Expected output
""""""","import unittest

class TestIntersection_nested_lists(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = intersection_nested_lists(value, value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = intersection_nested_lists(None, None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def grouping_dictionary(l):    result = {}    for k, v in l:         result.setdefault(k, []).append(v)    return resultcolors = [('yellow', 1), ('blue', 2), ('yellow', 3), ('blue', 4), ('red', 1)]print(""Original list:"")print(colors)print(""\nGrouping a sequence of key-value pairs into a dictionary of lists:"")print(grouping_dictionary(colors))","""""""
Brief Description:
------------------
grouping_dictionary function performs a specific operation as described below.

Extended Description:
---------------------
This function, `grouping_dictionary`, takes 1 parameters: l. It is designed to perform a certain task using these parameters.

Parameters:
-----------
l : type
    Description of l.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> grouping_dictionary(value)
Expected output
""""""","import unittest

class TestGrouping_dictionary(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = grouping_dictionary(value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = grouping_dictionary(None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def unicode_to_str(lst):    result = [str(x) for x in lst]    return resultstudents =  [u'S001', u'S002', u'S003', u'S004']print(""Original lists:"")print(students)print("" Convert the said unicode list to a list contains strings:"")print(unicode_to_str(students))","""""""
Brief Description:
------------------
unicode_to_str function performs a specific operation as described below.

Extended Description:
---------------------
This function, `unicode_to_str`, takes 1 parameters: lst. It is designed to perform a certain task using these parameters.

Parameters:
-----------
lst : type
    Description of lst.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> unicode_to_str(value)
Expected output
""""""","import unittest

class TestUnicode_to_str(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = unicode_to_str(value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = unicode_to_str(None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def power(a,b):	if b==0:		return 1	elif a==0:		return 0	elif b==1:		return a	else:		return a*power(a,b-1)print(power(3,4))","""""""
Brief Description:
------------------
power function performs a specific operation as described below.

Extended Description:
---------------------
This function, `power`, takes 2 parameters: a, b. It is designed to perform a certain task using these parameters.

Parameters:
-----------
a : type
    Description of a.
b : type
    Description of b.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> power(value, value)
Expected output
""""""","import unittest

class TestPower(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = power(value, value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = power(None, None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
def add_string(str1):  length = len(str1)  if length > 2:    if str1[-3:] == 'ing':      str1 += 'ly'    else:      str1 += 'ing'  return str1print(add_string('ab'))print(add_string('abc'))print(add_string('string')),"""""""
Brief Description:
------------------
add_string function performs a specific operation as described below.

Extended Description:
---------------------
This function, `add_string`, takes 1 parameters: str1. It is designed to perform a certain task using these parameters.

Parameters:
-----------
str1 : type
    Description of str1.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> add_string(value)
Expected output
""""""","import unittest

class TestAdd_string(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = add_string(value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = add_string(None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def pascal_triangle(n):   trow = [1]   y = [0]   for x in range(max(n,0)):      print(trow)      trow=[l+r for l,r in zip(trow+y, y+trow)]   return n>=1pascal_triangle(6) ","""""""
Brief Description:
------------------
pascal_triangle function performs a specific operation as described below.

Extended Description:
---------------------
This function, `pascal_triangle`, takes 1 parameters: n. It is designed to perform a certain task using these parameters.

Parameters:
-----------
n : type
    Description of n.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> pascal_triangle(value)
Expected output
""""""","import unittest

class TestPascal_triangle(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = pascal_triangle(value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = pascal_triangle(None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def common_data(list1, list2):     result = False     for x in list1:         for y in list2:             if x == y:                 result = True                 return resultprint(common_data([1,2,3,4,5], [5,6,7,8,9]))print(common_data([1,2,3,4,5], [6,7,8,9]))","""""""
Brief Description:
------------------
common_data function performs a specific operation as described below.

Extended Description:
---------------------
This function, `common_data`, takes 2 parameters: list1,  list2. It is designed to perform a certain task using these parameters.

Parameters:
-----------
list1 : type
    Description of list1.
list2 : type
    Description of list2.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> common_data(value, value)
Expected output
""""""","import unittest

class TestCommon_data(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = common_data(value, value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = common_data(None, None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def max_by(lst, fn):  return max(map(fn, lst))print(max_by([{ 'n': 4 }, { 'n': 2 }, { 'n': 8 }, { 'n': 6 }], lambda v : v['n'])) ","""""""
Brief Description:
------------------
max_by function performs a specific operation as described below.

Extended Description:
---------------------
This function, `max_by`, takes 2 parameters: lst,  fn. It is designed to perform a certain task using these parameters.

Parameters:
-----------
lst : type
    Description of lst.
fn : type
    Description of fn.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> max_by(value, value)
Expected output
""""""","import unittest

class TestMax_by(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = max_by(value, value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = max_by(None, None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def union_by_el(x, y, fn):  _x = set(map(fn, x))  return list(set(x + [item for item in y if fn(item) not in _x])) from math import floorprint(union_by_el([4.1], [2.2, 4.3], floor))","""""""
Brief Description:
------------------
union_by_el function performs a specific operation as described below.

Extended Description:
---------------------
This function, `union_by_el`, takes 3 parameters: x,  y,  fn. It is designed to perform a certain task using these parameters.

Parameters:
-----------
x : type
    Description of x.
y : type
    Description of y.
fn : type
    Description of fn.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> union_by_el(value, value, value)
Expected output
""""""","import unittest

class TestUnion_by_el(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = union_by_el(value, value, value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = union_by_el(None, None, None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def find_substring(str1, sub_str):   if any(sub_str in s for s in str1):       return True   return Falsecolors = [""red"", ""black"", ""white"", ""green"", ""orange""]print(""Original list:"")print(colors)sub_str = ""ack""print(""Substring to search:"")print(sub_str)print(""Check if a substring presents in the said list of string values:"")print(find_substring(colors, sub_str))sub_str = ""abc""print(""Substring to search:"")print(sub_str)print(""Check if a substring presents in the said list of string values:"")print(find_substring(colors, sub_str))","""""""
Brief Description:
------------------
find_substring function performs a specific operation as described below.

Extended Description:
---------------------
This function, `find_substring`, takes 2 parameters: str1,  sub_str. It is designed to perform a certain task using these parameters.

Parameters:
-----------
str1 : type
    Description of str1.
sub_str : type
    Description of sub_str.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> find_substring(value, value)
Expected output
""""""","import unittest

class TestFind_substring(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = find_substring(value, value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = find_substring(None, None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def intersection_of_two_string(str1, str2):    result = """"    for ch in str1:        if ch in str2 and not ch in result:            result += ch    return resultstr1 = 'Python3'str2 = 'Python2.7'print(""Original strings:"")print(str1)print(str2)print(""\nIntersection of two said String:"") print(intersection_of_two_string(str1, str2))","""""""
Brief Description:
------------------
intersection_of_two_string function performs a specific operation as described below.

Extended Description:
---------------------
This function, `intersection_of_two_string`, takes 2 parameters: str1,  str2. It is designed to perform a certain task using these parameters.

Parameters:
-----------
str1 : type
    Description of str1.
str2 : type
    Description of str2.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> intersection_of_two_string(value, value)
Expected output
""""""","import unittest

class TestIntersection_of_two_string(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = intersection_of_two_string(value, value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = intersection_of_two_string(None, None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def extract_nth_element(test_list, n):    result = [x[n] for x in test_list]    return resultstudents = [('Greyson Fulton', 98, 99), ('Brady Kent', 97, 96), ('Wyatt Knott', 91, 94), ('Beau Turnbull', 94, 98)] print (""Original list:"")print(students)n = 0print(""\nExtract nth element ( n ="",n,"") from the said list of tuples:"")print(extract_nth_element(students, n))n = 2print(""\nExtract nth element ( n ="",n,"") from the said list of tuples:"")print(extract_nth_element(students, n))","""""""
Brief Description:
------------------
extract_nth_element function performs a specific operation as described below.

Extended Description:
---------------------
This function, `extract_nth_element`, takes 2 parameters: test_list,  n. It is designed to perform a certain task using these parameters.

Parameters:
-----------
test_list : type
    Description of test_list.
n : type
    Description of n.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> extract_nth_element(value, value)
Expected output
""""""","import unittest

class TestExtract_nth_element(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = extract_nth_element(value, value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = extract_nth_element(None, None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
def factorial(n):    if n == 0:        return 1    else:        return n * factorial(n-1)n=int(input("Input a number to compute the factiorial : "))print(factorial(n)),"""""""
Brief Description:
------------------
factorial function performs a specific operation as described below.

Extended Description:
---------------------
This function, `factorial`, takes 1 parameters: n. It is designed to perform a certain task using these parameters.

Parameters:
-----------
n : type
    Description of n.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> factorial(value)
Expected output
""""""","import unittest

class TestFactorial(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = factorial(value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = factorial(None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def tuple_int_str(tuple_str):    result = tuple(map(lambda x: (int(x[0]), int(x[2])), tuple_str))    return result     tuple_str =  (('233', 'ABCD', '33'), ('1416', 'EFGH', '55'), ('2345', 'WERT', '34'))print(""Original tuple values:"")print(tuple_str)print(""\nNew tuple values:"")print(tuple_int_str(tuple_str))","""""""
Brief Description:
------------------
tuple_int_str function performs a specific operation as described below.

Extended Description:
---------------------
This function, `tuple_int_str`, takes 1 parameters: tuple_str. It is designed to perform a certain task using these parameters.

Parameters:
-----------
tuple_str : type
    Description of tuple_str.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> tuple_int_str(value)
Expected output
""""""","import unittest

class TestTuple_int_str(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = tuple_int_str(value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = tuple_int_str(None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def radix_sort(nums):    RADIX = 10    placement = 1    max_digit = max(nums)    while placement < max_digit:      buckets = [list() for _ in range( RADIX )]      for i in nums:        tmp = int((i / placement) % RADIX)        buckets[tmp].append(i)      a = 0      for b in range( RADIX ):        buck = buckets[b]        for i in buck:          nums[a] = i          a += 1      placement *= RADIX    return numsuser_input = input(""Input numbers separated by a comma:\n"").strip()nums = [int(item) for item in user_input.split(',')]print(radix_sort(nums))","""""""
Brief Description:
------------------
radix_sort function performs a specific operation as described below.

Extended Description:
---------------------
This function, `radix_sort`, takes 1 parameters: nums. It is designed to perform a certain task using these parameters.

Parameters:
-----------
nums : type
    Description of nums.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> radix_sort(value)
Expected output
""""""","import unittest

class TestRadix_sort(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = radix_sort(value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = radix_sort(None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def filter_data(students):    result = dict(filter(lambda x: (x[1][0], x[1][1]) > (6.0, 70), students.items()))    return result  students = {'Cierra Vega': (6.2, 70), 'Alden Cantrell': (5.9, 65), 'Kierra Gentry': (6.0, 68), 'Pierre Cox': (5.8, 66)}print(""Original Dictionary:"")print(students)print(""\nHeight> 6ft and Weight> 70kg:"")print(filter_data(students))","""""""
Brief Description:
------------------
filter_data function performs a specific operation as described below.

Extended Description:
---------------------
This function, `filter_data`, takes 1 parameters: students. It is designed to perform a certain task using these parameters.

Parameters:
-----------
students : type
    Description of students.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> filter_data(value)
Expected output
""""""","import unittest

class TestFilter_data(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = filter_data(value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = filter_data(None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def file_size(fname):        import os        statinfo = os.stat(fname)        return statinfo.st_sizeprint(""File size in bytes of a plain file: "",file_size(""test.txt""))","""""""
Brief Description:
------------------
file_size function performs a specific operation as described below.

Extended Description:
---------------------
This function, `file_size`, takes 1 parameters: fname. It is designed to perform a certain task using these parameters.

Parameters:
-----------
fname : type
    Description of fname.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> file_size(value)
Expected output
""""""","import unittest

class TestFile_size(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = file_size(value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = file_size(None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def reverse_list_of_lists(list1):    return list1[::-1]colors = [['orange', 'red'], ['green', 'blue'], ['white', 'black', 'pink']]print(""Original list:"")print(colors)print(""\nReverse said list of lists:"")print(reverse_list_of_lists(colors))nums = [[1,2,3,4], [0,2,4,5], [2,3,4,2,4]]print(""\nOriginal list:"")print(nums)print(""\nReverse said list of lists:"")print(reverse_list_of_lists(nums))","""""""
Brief Description:
------------------
reverse_list_of_lists function performs a specific operation as described below.

Extended Description:
---------------------
This function, `reverse_list_of_lists`, takes 1 parameters: list1. It is designed to perform a certain task using these parameters.

Parameters:
-----------
list1 : type
    Description of list1.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> reverse_list_of_lists(value)
Expected output
""""""","import unittest

class TestReverse_list_of_lists(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = reverse_list_of_lists(value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = reverse_list_of_lists(None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def list_of_dicts(marks):    result = map(dict, zip(*[[(key, val) for val in value] for key, value in marks.items()]))    return list(result)marks = {'Science': [88, 89, 62, 95], 'Language': [77, 78, 84, 80]}print(""Original dictionary of lists:"")print(marks)print(""\nSplit said dictionary of lists into list of dictionaries:"")print(list_of_dicts(marks))","""""""
Brief Description:
------------------
list_of_dicts function performs a specific operation as described below.

Extended Description:
---------------------
This function, `list_of_dicts`, takes 1 parameters: marks. It is designed to perform a certain task using these parameters.

Parameters:
-----------
marks : type
    Description of marks.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> list_of_dicts(value)
Expected output
""""""","import unittest

class TestList_of_dicts(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = list_of_dicts(value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = list_of_dicts(None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def second_largest(numbers):  if (len(numbers)<2):    return  if ((len(numbers)==2)  and (numbers[0] == numbers[1]) ):    return  dup_items = set()  uniq_items = []  for x in numbers:    if x not in dup_items:      uniq_items.append(x)      dup_items.add(x)  uniq_items.sort()      return  uniq_items[-2]   print(second_largest([1,2,3,4,4]))print(second_largest([1, 1, 1, 0, 0, 0, 2, -2, -2]))print(second_largest([2,2]))print(second_largest([1]))","""""""
Brief Description:
------------------
second_largest function performs a specific operation as described below.

Extended Description:
---------------------
This function, `second_largest`, takes 1 parameters: numbers. It is designed to perform a certain task using these parameters.

Parameters:
-----------
numbers : type
    Description of numbers.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> second_largest(value)
Expected output
""""""","import unittest

class TestSecond_largest(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = second_largest(value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = second_largest(None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def index_on_inner_list(list_data, index_no):    result = sorted(list_data, key=lambda x: x[index_no])    return resultstudents = [('Greyson Fulton', 98, 99), ('Brady Kent', 97, 96), ('Wyatt Knott', 91, 94), ('Beau Turnbull', 94, 98)] print (""Original list:"")print(students)index_no = 0print(""\nSort the said list of lists by a given index"",""( Index = "",index_no,"") of the inner list"")print(index_on_inner_list(students, index_no))index_no = 2print(""\nSort the said list of lists by a given index"",""( Index = "",index_no,"") of the inner list"")print(index_on_inner_list(students, index_no))","""""""
Brief Description:
------------------
index_on_inner_list function performs a specific operation as described below.

Extended Description:
---------------------
This function, `index_on_inner_list`, takes 2 parameters: list_data,  index_no. It is designed to perform a certain task using these parameters.

Parameters:
-----------
list_data : type
    Description of list_data.
index_no : type
    Description of index_no.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> index_on_inner_list(value, value)
Expected output
""""""","import unittest

class TestIndex_on_inner_list(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = index_on_inner_list(value, value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = index_on_inner_list(None, None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def sum_lists_diff_length(test_list):    result =  [sum(x) for x in zip(*map(lambda x:x+[0]*max(map(len, test_list)) if len(x)<max(map(len, test_list)) else x, test_list))]    return resultnums = [[1,2,4],[2,4,4],[1,2]]print(""\nOriginal list:"")print(nums)print(""Sum said lists with different lengths:"")print(sum_lists_diff_length(nums))nums = [[1],[2,4,4],[1,2],[4]]print(""\nOriginal list:"")print(nums)print(""Sum said lists with different lengths:"")print(sum_lists_diff_length(nums))","""""""
Brief Description:
------------------
sum_lists_diff_length function performs a specific operation as described below.

Extended Description:
---------------------
This function, `sum_lists_diff_length`, takes 1 parameters: test_list. It is designed to perform a certain task using these parameters.

Parameters:
-----------
test_list : type
    Description of test_list.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> sum_lists_diff_length(value)
Expected output
""""""","import unittest

class TestSum_lists_diff_length(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = sum_lists_diff_length(value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = sum_lists_diff_length(None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
